epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.013,1.19085,3.33736,0.42944,1.10135,1.25431,0.15345,0.43098,0.11777,0.06472,0.0633,0.18957,0.0187,0.00574,1.49182,4.73995,0.55625,12.3652,1.56412,0.000659176,0.000659176,0.000659176
2,205.902,1.59019,4.68068,0.41897,1.56905,1.55386,0.09579,0.13804,0.03267,0.01152,0.00749,0.01405,0.0005,0.00011,2.8688,7.54986,0.86598,37.0483,3.20474,0.00119458,0.00119458,0.00119458
3,287.858,1.67917,5.03514,0.44067,1.64222,1.62707,0.15244,0.21205,0.06011,0.0243,0.05734,0.06184,0.00713,0.0022,2.29914,6.36707,0.58834,5.20258,2.40009,0.00159799,0.00159799,0.00159799
4,370.04,1.6029,4.82573,0.41564,1.59846,1.6015,0.62286,0.36446,0.45711,0.2925,0.47533,0.19519,0.1703,0.06272,1.55948,4.47374,0.40128,2.19443,1.61386,0.001406,0.001406,0.001406
5,457.462,1.4929,4.53354,0.4008,1.44978,1.50827,0.68935,0.47408,0.56217,0.35681,0.56774,0.26765,0.25652,0.09168,1.51175,4.09927,0.34777,1.46141,1.50171,0.001208,0.001208,0.001208
6,545.201,1.41178,4.18256,0.38007,1.33632,1.44359,0.72416,0.51156,0.59841,0.38711,0.55356,0.29076,0.2668,0.11902,1.43722,3.84387,0.32971,1.38353,1.47714,0.00101,0.00101,0.00101
7,633.035,1.31832,3.93257,0.36159,1.23947,1.39553,0.78529,0.52842,0.6311,0.43158,0.66436,0.33198,0.33112,0.15115,1.28044,3.56321,0.29769,1.25303,1.3741,0.000812,0.000812,0.000812
8,720.973,1.22729,3.67961,0.33769,1.13744,1.32092,0.77307,0.58276,0.67348,0.45815,0.63301,0.35134,0.3473,0.16889,1.27716,3.32991,0.29841,1.14807,1.36007,0.000614,0.000614,0.000614
9,808.995,1.17078,3.39991,0.32697,1.07562,1.28303,0.80044,0.58875,0.6891,0.48794,0.68397,0.36165,0.35172,0.17193,1.17918,3.11145,0.27496,1.09302,1.28842,0.000416,0.000416,0.000416
10,897.015,1.10246,3.16931,0.31305,0.98718,1.24874,0.80009,0.61869,0.71316,0.50955,0.68045,0.3937,0.38973,0.20189,1.13646,2.93533,0.2685,1.04191,1.27665,0.000218,0.000218,0.000218
