epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1469,1.17595,3.23753,0.39949,1.03367,1.25017,0.29678,0.3615,0.22972,0.1277,0.12769,0.14665,0.03263,0.00892,1.61604,5.32534,0.54943,5.56746,1.71937,0.000658537,0.000658537,0.000658537
2,153.339,1.57473,4.72831,0.42919,1.4902,1.50721,0.30996,0.46651,0.28251,0.14024,0.08792,0.13333,0.02149,0.00515,1.67507,5.00577,0.49685,9.50494,1.80428,0.00129896,0.00129896,0.00129896
3,233.559,1.63847,5.23178,0.4481,1.58636,1.57158,0.43305,0.35794,0.2904,0.1595,0.19854,0.14393,0.05249,0.01211,1.71148,4.97548,0.48496,4.90216,1.80347,0.00191299,0.00191299,0.00191299
4,314.12,1.60468,5.0683,0.43683,1.54101,1.53874,0.54378,0.41289,0.45468,0.27163,0.42047,0.15148,0.1219,0.03333,1.67048,4.62505,0.50251,2.6478,1.69389,0.0018812,0.0018812,0.0018812
5,394.5,1.55848,4.9478,0.4223,1.50634,1.51503,0.59057,0.40585,0.47191,0.28452,0.39642,0.17441,0.12421,0.04235,1.63741,4.33585,0.40498,1.9799,1.63187,0.0018416,0.0018416,0.0018416
6,475.303,1.50829,4.82816,0.41709,1.46522,1.48999,0.65422,0.43935,0.51083,0.31916,0.38148,0.19312,0.14761,0.05288,1.54909,4.26663,0.42347,1.96074,1.52172,0.001802,0.001802,0.001802
7,556.014,1.4406,4.64513,0.40564,1.39212,1.43722,0.63302,0.51569,0.56167,0.3576,0.45764,0.23386,0.18222,0.06143,1.46716,3.98664,0.35287,1.54071,1.47207,0.0017624,0.0017624,0.0017624
8,636.447,1.43017,4.47556,0.40191,1.34067,1.41608,0.7109,0.51961,0.59759,0.38693,0.48138,0.24291,0.19582,0.07054,1.43041,4.03537,0.3706,1.3907,1.46184,0.0017228,0.0017228,0.0017228
9,716.642,1.38942,4.37015,0.38956,1.30758,1.40661,0.72924,0.53289,0.61597,0.3972,0.55201,0.28395,0.25797,0.09633,1.40356,3.75126,0.36479,1.30014,1.45078,0.0016832,0.0016832,0.0016832
10,797.523,1.3362,4.20722,0.37422,1.23267,1.36775,0.68432,0.50905,0.59011,0.38922,0.52382,0.26403,0.22186,0.07851,1.37597,3.73956,0.35433,1.37839,1.41141,0.0016436,0.0016436,0.0016436
11,872.189,1.33322,4.10196,0.38015,1.2292,1.35699,0.75705,0.52173,0.6224,0.4002,0.5778,0.30115,0.27185,0.10654,1.38312,3.57154,0.32515,1.29821,1.41726,0.001604,0.001604,0.001604
12,950.804,1.31037,4.10677,0.36718,1.20734,1.34931,0.75803,0.54639,0.64858,0.43061,0.54888,0.30235,0.2566,0.08909,1.32716,3.50973,0.31676,1.18449,1.38422,0.0015644,0.0015644,0.0015644
13,1031.57,1.26525,4.09855,0.36938,1.18111,1.33382,0.7256,0.56759,0.65067,0.4358,0.60785,0.3108,0.29488,0.1202,1.30517,3.3558,0.31319,1.19568,1.34414,0.0015248,0.0015248,0.0015248
14,1111.62,1.27405,3.92478,0.35539,1.16644,1.33557,0.75178,0.58126,0.66394,0.44088,0.56481,0.32529,0.29746,0.1267,1.30266,3.32134,0.30436,1.19717,1.35102,0.0014852,0.0014852,0.0014852
15,1190.7,1.25493,3.77675,0.36119,1.14935,1.31609,0.74916,0.56324,0.65229,0.4359,0.60207,0.33675,0.29398,0.11762,1.28796,3.31583,0.30961,1.20533,1.35002,0.0014456,0.0014456,0.0014456
16,1266.21,1.2161,3.76366,0.35202,1.09134,1.30003,0.77626,0.58238,0.67849,0.45788,0.65276,0.34671,0.32309,0.13843,1.26795,3.10701,0.305,1.12426,1.32991,0.001406,0.001406,0.001406
17,1346.86,1.203,3.62945,0.34313,1.08847,1.28129,0.7717,0.58087,0.67474,0.45479,0.65719,0.33404,0.31397,0.1283,1.27249,3.18268,0.30314,1.11835,1.3234,0.0013664,0.0013664,0.0013664
18,1422.3,1.2068,3.6987,0.34402,1.08552,1.27354,0.75117,0.60803,0.68416,0.47339,0.59663,0.3621,0.34664,0.16011,1.21955,3.06514,0.32086,1.06734,1.31484,0.0013268,0.0013268,0.0013268
19,1502.98,1.17725,3.63074,0.33792,1.05753,1.26852,0.74592,0.57936,0.67763,0.45962,0.68066,0.34731,0.33463,0.13641,1.24459,3.11995,0.29678,1.09823,1.31563,0.0012872,0.0012872,0.0012872
20,1578.37,1.14963,3.48503,0.33727,1.02614,1.24762,0.77211,0.60078,0.69385,0.47338,0.61485,0.36482,0.33716,0.14412,1.21266,3.01483,0.31367,1.06032,1.30328,0.0012476,0.0012476,0.0012476
21,1653.09,1.17116,3.4129,0.3326,1.02192,1.25756,0.79737,0.59596,0.69492,0.47625,0.7005,0.36089,0.34897,0.15086,1.22981,3.01277,0.30307,1.05331,1.3027,0.001208,0.001208,0.001208
22,1728.79,1.13084,3.48913,0.3319,0.99009,1.24715,0.79383,0.59083,0.69481,0.47853,0.66378,0.36361,0.35953,0.1538,1.19118,2.96991,0.32731,1.03117,1.2872,0.0011684,0.0011684,0.0011684
23,1809.69,1.13163,3.30929,0.32046,1.00032,1.22966,0.7925,0.60043,0.70113,0.47163,0.7353,0.36723,0.37589,0.16968,1.22475,2.94544,0.28874,1.03851,1.30097,0.0011288,0.0011288,0.0011288
24,1890.66,1.11906,3.44619,0.3277,0.98737,1.24547,0.78027,0.60199,0.69844,0.48124,0.6855,0.38775,0.38292,0.17297,1.21317,2.86019,0.30345,1.03941,1.29535,0.0010892,0.0010892,0.0010892
25,1971.43,1.09291,3.33958,0.3177,0.95467,1.21852,0.79607,0.59484,0.69605,0.48166,0.69414,0.37628,0.37276,0.16281,1.19653,2.89597,0.29805,1.01221,1.28487,0.0010496,0.0010496,0.0010496
26,2046.93,1.10111,3.29299,0.32381,0.94508,1.21999,0.78764,0.63156,0.71625,0.4983,0.69459,0.40832,0.40396,0.18861,1.17346,2.75569,0.30154,0.97969,1.26861,0.00101,0.00101,0.00101
